latitude,longitude
47.641914863761905,-122.14039954481979
47.64189900584173,-122.14038632761891
47.64188876742505,-122.14037541851663
47.641877459914404,-122.14036283483584
47.64186148102939,-122.14034489019095
47.64183891057489,-122.14031781971379
47.641824535562364,-122.14029979402754
47.64180733253434,-122.14028202543851
47.641789671114914,-122.14026458111357
47.64176699674247,-122.14024586653284
47.641752742956186,-122.14023750267387
47.64173784818234,-122.14023126044228
47.64172500666164,-122.14022726375754
47.64171367662192,-122.1402271233787
47.64170486486139,-122.14022954762527
47.6416918126398,-122.14023363590334
47.64167247326498,-122.14024067510417
47.64163894580579,-122.1402527885311
47.64161571169802,-122.14026105472107
47.64158957100946,-122.1402665932955
47.641568164945376,-122.14027159464246
47.641549801830614,-122.14027850239066
47.64153259302996,-122.14028058723572
